,Ticker,Weight,Name,Prev Close,Avg Daily Volume,Market Cap,PE ratio,Last Tradetime
24,NWBI,0.0079275903,"Northwest Bancshares, Inc.",17.96,616105,1.84B,36.94,2017-02-21 21:00:00 UTC+0000
25,CHCT,0.0050316734000000005,Community Healthcare Trust Inco,22.79,76923,288.73M,125.05,2017-02-21 21:02:00 UTC+0000
26,CE,0.0029397329,Celanese Corporation Celanese C,89.64,848036,12.69B,14.58,2017-02-21 21:02:00 UTC+0000
27,PBNC,0.0028963609,Paragon Commercial Corporation,48.83,5640,268.19M,18.36,2017-02-21 21:00:00 UTC+0000
28,DAN,0.0027622708,Dana Incorporated Common Stock,19.33,1509980,2.84B,4.53,2017-02-21 21:03:00 UTC+0000
29,MDSO,-0.0001596949,"Medidata Solutions, Inc.",56.10,452962,3.13B,109.94,2017-02-21 21:00:00 UTC+0000
30,FTK,-0.0013065126,"Flotek Industries, Inc. Common",12.46,1260130,726.85M,,2017-02-21 21:02:00 UTC+0000
31,CRY,-0.0029816835,"CryoLife, Inc. Common Stock",17.25,165682,525.22M,50.94,2017-02-21 21:01:00 UTC+0000
32,CRAY,-0.0087592043,Cray Inc,21.30,499013,855.72M,82.31,2017-02-21 21:00:00 UTC+0000
33,CIR,-0.0191004679,"CIRCOR International, Inc. Comm",61.51,99397,1.02B,102.16,2017-02-21 21:02:00 UTC+0000
34,FOSL,-0.0206514477,"Fossil Group, Inc.",20.73,1616080,958.22M,12.20,2017-02-21 21:00:00 UTC+0000
35,TWTR,-0.0225143572,"Twitter, Inc. Common Stock",16.62,19521300,11.72B,,2017-02-21 21:02:00 UTC+0000
36,SD,-0.024310582799999998,"SandRidge Energy, Inc. Common S",19.80,129080,416.44M,,2017-02-21 21:02:00 UTC+0000
37,AQMS,-0.032432086400000004,"Aqua Metals, Inc.",17.70,276769,277.44M,,2017-02-21 21:00:00 UTC+0000
38,QUOT,-0.0372762186,Quotient Technology Inc. Common,12.85,495646,1.09B,,2017-02-21 21:02:00 UTC+0000
39,BANC,-0.0415962215,"Banc of California, Inc. Common",19.85,1638860,987.96M,10.21,2017-02-21 21:05:00 UTC+0000
40,ACOR,-0.0563469558,"Acorda Therapeutics, Inc.",25.30,737480,1.15B,,2017-02-21 21:00:00 UTC+0000
41,EDIT,-0.0600210329,"Editas Medicine, Inc.",26.02,492931,971.74M,,2017-02-21 21:00:00 UTC+0000
42,ATVI,-0.07135509849999999,"Activision Blizzard, Inc",45.33,9064140,33.73B,35.42,2017-02-21 21:00:00 UTC+0000
43,CYNO,-0.10117546779999999,"Cynosure, Inc.",66.25,978146,1.56B,101.69,2017-02-21 21:00:00 UTC+0000
